Ticket;Nombre comun;Fecha;evento;Ciudad;Vereda;Arboles;Hectareas
1865;Cedro, Cámbulo, Caoba, Carbonero, Nogal Cafetero;11/12/2021 0:00;Obligación Contractual;Angostura;Cabecera Municipal;50;0.1
417;Carbonero;12/21/2020 12:00:00 AM;Siembra Granja Buena Vista II;Angostura;Batea Seca;14;0.028
1514;Carbonero;12/18/2021 12:00:00 AM;Obligación Contractual;Angostura;Chocho Rio;14;0.028
355;Acacia Rosada, Carbonero, Nogal Cafetero;12/02/2020 0:00;Siembraton Cedal II;Angostura;El Olivo;210;0.42
397;Acacia Roja, Carbonero, Nogal Cafetero;12/02/2020 0:00;Sembraton Cedral II;Angostura;El Olivo;210;0.42
1239;Guayacan Amarillo, Arrayan de Hoja Ancha, Cedro Negro;10/12/2021 0:00;Gran Sembratón Cada uno, un árbol;Angostura;El Olivo;1500;3
2275;Roble;10/15/2021 12:00:00 AM;SEMBRATON APOYO;Angostura;La Culebra;1500;3
2276;Quimulá;11/26/2021 12:00:00 AM;SEMBRATON APOYO;Angostura;La Culebra;31679;63.358
2277;Sauce;10/20/2021 12:00:00 AM;SEMBRATON APOYO;Angostura;La Culebra;1000;2
219;Guayabo Comun, Guadua;10/15/2020 12:00:00 AM;Jornada Educativa de Reforestación;Angostura;La Milagrosa;400;0.8
1716;Quiebrabarrigo;2/10/2022 0:00;Jornada Ecológico Convite forestación;Angostura;La Quinta;250;0.5
817;Guayacan Rosado, Quiebrabarrigo, velero, Carbonero;12/02/2020 0:00;Obligación Contractual;Angostura;Maldonado;150;0.3
1308;Cedro de Altura, Piñón de Oreja, Matarratón;10/12/2021 0:00;SEMBRATON 12 DE OCTUBRE;Angostura;Maldonado;1500;3
